Otter,Activity,Altitude,Trout,Site,Month,Lat.,Long.,Caloric,Water Excess,Amoeba,Land,Water,Month,Year
RO-106,645.5,2159.4,444.2,Gamma,17,48.07 N,88.64 W,-57.06017655,3.018126642,,23,-24.23433175,12,2019
RO-106,641,2031.3,,Gamma,18,48.07 N,88.64 W,-6.937989186,7.324630096,,6,-8.031478662,1,2020
RO-106,459.3,,669.7,Gamma,19,48.07 N,88.64 W,-2.139000369,4.026599778,,2,-2.778273795,2,2020
RO-255,33.1,,97.8,Delta,0,48.01 N,88.8 W,-56.20404776,4.479498165,,20,-20.5193525,7,2018
RO-255,45,2015.8,104.4,Delta,1,48.01 N,88.8 W,-15.01153578,5.516210431,,6,-6.407826246,8,2018
RO-255,77.2,2803.3,118,Delta,2,48.01 N,88.8 W,-5.196568977,4.62344651,,5,-5.342665528,9,2018
RO-255,44.6,2039.7,156.2,Delta,3,48.01 N,88.8 W,1.572661792,5.109457555,,3,-4.958673488,10,2018
RO-255,48.1,,,Delta,4,48.01 N,88.8 W,-8.640342657,4.334559157,,7,-7.716442419,11,2018
RO-255,74.4,2132.2,186.6,Delta,5,48.01 N,88.8 W,-53.01702254,5.179841681,,22,-23.20222863,12,2018
RO-255,113,1834.1,220.9,Delta,6,48.01 N,88.8 W,15.49630011,6.304063096,,0,-0.391753343,1,2019
RO-255,91.9,1588,,Delta,7,48.01 N,88.8 W,9.185130232,3.105541822,,1,-1.174938189,2,2019
RO-255,61.3,1749.4,319.9,Delta,8,48.01 N,88.8 W,-38.78450075,4.183195778,,16,-16.63018189,3,2019
RO-255,56.8,1687.2,321.3,Delta,9,48.01 N,88.8 W,9.574472966,3.647955528,,1,-1.396292822,4,2019
RO-255,93.6,2007.7,319.6,Delta,10,48.01 N,88.8 W,-28.38013758,8.070429086,,14,-14.58871327,5,2019
RO-255,159.9,2208.3,,Delta,11,48.01 N,88.8 W,-8.330414919,6.669101877,,5,-5.820938014,6,2019
RO-255,147.2,1656.7,456.4,Delta,12,48.01 N,88.8 W,-4.985601965,5.32313058,,3,-4.074103053,7,2019
RO-255,146.3,1604.4,543.4,Delta,13,48.01 N,88.8 W,-10.92306451,4.717134949,,6,-6.042783296,8,2019
RO-255,98.3,,618.3,Delta,14,48.01 N,88.8 W,-12.59353891,6.240893891,,6,-7.403358392,9,2019
RO-255,93.5,1610.5,647.4,Delta,15,48.01 N,88.8 W,-30.54131424,2.465052792,,9,-11.08175602,10,2019
RO-255,135.2,1819.4,671.3,Delta,16,48.01 N,88.8 W,-32.53755339,3.516939425,,12,-12.70505544,11,2019
RO-255,157.3,,726.1,Delta,17,48.01 N,88.8 W,-54.50182743,4.945638931,,20,-20.48036013,12,2019
RO-255,179.5,2371.6,800.3,Delta,18,48.01 N,88.8 W,-55.773664,4.529500703,,21,-22.53036517,1,2020
RO-255,189.6,2759.9,,Delta,19,48.01 N,88.8 W,19.668165,5.487059113,,0,-0.410951539,2,2020
RO-918,40.29,417.5,10.5,Omicron,0,47.89 N,88.99 W,-20.09930622,4.348008712,-0.989992497,15,-15.54604597,7,2018
RO-918,72.76,837.8,10.2,Omicron,1,47.89 N,88.99 W,24.18134968,6.314392355,-0.989992497,1,-1.387475197,8,2018
RO-918,66.26,,34.7,Omicron,2,47.89 N,88.99 W,-36.11386886,6.562480757,-0.989992497,18,-18.97874367,9,2018
RO-918,51.6,437.9,51.8,Omicron,3,47.89 N,88.99 W,-47.82854509,3.541528937,-0.989992497,20,-21.03779427,10,2018
RO-918,52.41,679.7,64.3,Omicron,4,47.89 N,88.99 W,3.522031521,3.249908246,-0.989992497,0,-0.698965481,11,2018
RO-918,69.41,727.8,67.1,Omicron,5,47.89 N,88.99 W,-49.15973522,3.917292223,-0.981674005,16,-16.98261261,12,2018
RO-918,68.35,643.6,75.2,Omicron,6,47.89 N,88.99 W,-14.38626422,1.984379919,-0.981674005,4,-5.245845354,1,2019
RO-918,46.8,,71.4,Omicron,7,47.89 N,88.99 W,-7.710107677,5.481560261,-0.981674005,5,-5.606321616,2,2019
RO-918,47.4,588.4,67.1,Omicron,8,47.89 N,88.99 W,18.7112902,8.924764966,-0.981674005,0,-0.209971895,3,2019
RO-918,59.57,698.4,60.5,Omicron,9,47.89 N,88.99 W,20.01090739,5.964886037,-0.981674005,0,-0.533247139,4,2019
RO-918,88.78,846.4,,Omicron,10,47.89 N,88.99 W,17.97371697,9.320832472,-0.981674005,4,-4.855635705,5,2019
RO-918,74.12,893.8,84.8,Omicron,11,47.89 N,88.99 W,7.484634485,4.644584139,-0.981674005,5,-5.358358392,6,2019
RO-918,62.68,579,96.8,Omicron,12,47.89 N,88.99 W,12.92963731,6.246932132,-0.865286843,2,-3.065618548,7,2019
RO-918,89.36,694.6,110.2,Omicron,13,47.89 N,88.99 W,14.61917273,5.66564088,-0.865286843,1,-1.558257021,8,2019
RO-918,78.98,590.3,147.4,Omicron,14,47.89 N,88.99 W,-1.66465435,2.309955973,-0.865286843,4,-4.97918266,9,2019
RO-918,100.66,693.5,163.2,Omicron,15,47.89 N,88.99 W,-0.832988934,5.761229748,-0.865286843,3,-4.55725432,10,2019
RO-918,160.62,809,203.5,Omicron,16,47.89 N,88.99 W,-6.778021418,5.504901126,-0.865286843,4,-4.761841432,11,2019
RO-918,145,,290.6,Omicron,17,47.89 N,88.99 W,11.07614048,7.677025267,-0.865286843,1,-2.27335257,12,2019
RO-918,174.93,1001.5,346.1,Omicron,18,47.89 N,88.99 W,10.13318643,3.726612387,-0.865286843,2,-2.342425881,1,2020
RO-918,172.49,703.2,414.9,Omicron,19,47.89 N,88.99 W,-34.31533282,5.691828184,-0.653643621,17,-18.38373915,2,2020
RO-859,12.93,191.5,,Omega,0,47.88 N,89.21 W,12.28253787,4.69959689,-0.653643621,2,,7,2018
RO-859,25.9,516,0.8,Omega,1,47.88 N,89.21 W,7.490543258,5.05793122,-0.653643621,2,,8,2018
RO-859,35.05,729,7.4,Omega,2,47.88 N,89.21 W,-3.135990109,6.709534795,-0.653643621,4,,9,2018
RO-859,22.89,560.4,18.1,Omega,3,47.88 N,89.21 W,-9.044726505,4.739761811,-0.653643621,5,,10,2018
RO-859,18.84,519.9,23.5,Omega,4,47.88 N,89.21 W,3.462293628,5.511112737,-0.653643621,3,,11,2018
RO-859,28.57,628.5,,Omega,5,47.88 N,89.21 W,-17.38995861,3.531542891,-0.653643621,9,,12,2018
RO-859,48.51,537.1,36.2,Omega,6,47.88 N,89.21 W,-61.8174338,3.656093054,-0.370043317,22,,1,2019
RO-859,43.34,561.2,60.8,Omega,7,47.88 N,89.21 W,0.558324543,3.40711417,-0.370043317,2,,2,2019
RO-859,37.02,617.2,84.4,Omega,8,47.88 N,89.21 W,-0.320433568,3.744070131,-0.370043317,4,,3,2019
RO-859,37.81,,91.2,Omega,9,47.88 N,89.21 W,11.05759242,4.097339576,-0.370043317,0,,4,2019
RO-859,39.27,737.2,92.4,Omega,10,47.88 N,89.21 W,-16.83608668,5.421267208,-0.370043317,9,,5,2019
RO-859,53.46,760.5,,Omega,11,47.88 N,89.21 W,-1.02161446,3.809221207,-0.370043317,4,,6,2019
RO-859,55.56,581.4,111.1,Omega,12,47.88 N,89.21 W,-54.44221299,4.70917227,-0.370043317,21,,7,2019
RO-859,49.56,,130.6,Omega,13,47.88 N,89.21 W,1.38233372,5.634411085,-0.045706385,1,,8,2019
RO-859,32.04,583.8,141.8,Omega,14,47.88 N,89.21 W,3.618176777,5.185608641,-0.045706385,0,,9,2019
RO-859,32.24,635.2,136.7,Omega,15,47.88 N,89.21 W,1.959870488,7.890337672,-0.045706385,2,,10,2019
RO-859,54.38,723.8,129.7,Omega,16,47.88 N,89.21 W,-13.90161978,5.759195466,-0.045706385,7,,11,2019
RO-859,71.78,,145.5,Omega,17,47.88 N,89.21 W,-36.66418345,2.311342445,-0.045706385,14,,12,2019
RO-859,90.08,1193.5,174.8,Omega,18,47.88 N,89.21 W,-9.496657927,5.496170798,-0.045706385,9,,1,2020
RO-859,68.6,,,Omega,19,47.88 N,89.21 W,2.656656489,3.906381606,-0.045706385,3,,2,2020
